timestamp,device_timestamp,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7,T1_board,T2_board,mean,setpoint,P,I,D
2026-06-07T17:15:48.399173,261919581,38.99,39.68,40.15,40.15,40.4,40.49,40.33,40.02,33.1,34.58,40.02,40.0,-5.38,1671.36,0.0
2026-06-07T17:15:49.387102,261920619,38.99,39.65,40.12,40.12,40.4,40.49,40.33,40.02,33.09,34.58,39.99,40.0,2.44,1671.45,0.0
2026-06-07T17:15:50.398858,261920619,38.99,39.65,40.12,40.12,40.4,40.49,40.33,40.02,33.09,34.58,39.99,40.0,2.44,1671.45,0.0
2026-06-07T17:15:51.400233,261921658,38.99,39.68,40.15,40.18,40.37,40.46,40.33,40.05,33.1,34.6,40.02,40.0,-5.38,1671.24,0.0
2026-06-07T17:15:52.386979,261922692,38.99,39.68,40.15,40.15,40.37,40.49,40.33,40.05,33.08,34.58,40.02,40.0,-5.38,1671.02,0.0
2026-06-07T17:15:53.385756,261923728,38.96,39.68,40.12,40.18,40.4,40.46,40.3,40.02,33.08,34.59,39.99,40.0,2.44,1671.12,0.0
2026-06-07T17:15:54.386950,261924762,38.99,39.68,40.08,40.18,40.4,40.46,40.37,40.05,33.08,34.59,40.02,40.0,-5.38,1670.91,0.0
2026-06-07T17:15:55.400409,261925797,38.96,39.68,40.12,40.18,40.4,40.46,40.3,40.05,33.1,34.59,39.99,40.0,2.44,1671.0,0.0
2026-06-07T17:15:56.386981,261926831,38.99,39.68,40.15,40.18,40.4,40.49,40.3,40.05,33.11,34.59,40.02,40.0,-5.38,1670.79,0.0
2026-06-07T17:15:57.400862,261927869,38.99,39.68,40.18,40.21,40.4,40.46,40.33,40.02,33.1,34.59,40.02,40.0,-5.38,1670.57,0.0
2026-06-07T17:15:58.386996,261928904,38.96,39.68,40.15,40.15,40.37,40.43,40.3,40.02,33.1,34.58,39.99,40.0,2.44,1670.67,0.0
2026-06-07T17:15:59.399027,261929941,38.96,39.68,40.15,40.15,40.37,40.46,40.33,40.02,33.11,34.59,39.99,40.0,2.44,1670.77,0.0
2026-06-07T17:16:00.400323,261930977,38.99,39.61,40.12,40.15,40.37,40.49,40.37,40.02,33.08,34.58,39.99,40.0,2.44,1670.86,0.0
2026-06-07T17:16:01.386861,261932012,38.96,39.65,40.15,40.18,40.4,40.46,40.33,40.05,33.11,34.56,40.02,40.0,-5.38,1670.65,0.0
2026-06-07T17:16:02.385792,261933047,38.99,39.68,40.12,40.18,40.37,40.49,40.3,39.99,33.1,34.58,39.99,40.0,2.44,1670.75,0.0
2026-06-07T17:16:03.386945,261934082,38.96,39.68,40.12,40.21,40.4,40.49,40.33,40.05,33.1,34.58,40.02,40.0,-5.38,1670.53,0.0
2026-06-07T17:16:04.386929,261935117,38.96,39.65,40.12,40.21,40.37,40.49,40.33,39.99,33.1,34.59,39.99,40.0,2.44,1670.63,0.0
2026-06-07T17:16:05.385917,261936153,38.96,39.68,40.12,40.18,40.4,40.49,40.3,40.05,33.1,34.59,40.02,40.0,-5.38,1670.41,0.0
2026-06-07T17:16:06.399069,261937188,38.96,39.68,40.12,40.15,40.4,40.46,40.33,40.02,33.07,34.59,39.99,40.0,2.44,1670.51,0.0
2026-06-07T17:16:07.399149,261938223,38.96,39.65,40.15,40.18,40.37,40.46,40.33,40.02,33.09,34.57,39.99,40.0,2.44,1670.61,0.0
2026-06-07T17:16:08.399976,261939258,38.96,39.65,40.12,40.18,40.37,40.49,40.33,40.02,33.1,34.6,39.99,40.0,2.44,1670.71,0.0
2026-06-07T17:16:09.398651,261940294,38.93,39.68,40.12,40.15,40.37,40.46,40.37,40.02,33.1,34.59,39.99,40.0,2.44,1670.81,0.0
2026-06-07T17:16:10.385837,261941332,38.99,39.68,40.12,40.18,40.37,40.49,40.37,40.02,33.08,34.58,40.02,40.0,-5.38,1670.59,0.0
2026-06-07T17:16:11.386980,261942368,38.96,39.71,40.12,40.18,40.37,40.49,40.33,40.05,33.11,34.59,40.02,40.0,-5.38,1670.37,0.0
2026-06-07T17:16:12.386964,261943404,38.99,39.68,40.15,40.21,40.4,40.52,40.33,40.02,33.07,34.58,40.02,40.0,-5.38,1670.16,0.0
2026-06-07T17:16:13.385837,261944440,38.93,39.65,40.12,40.18,40.37,40.46,40.37,40.02,33.11,34.59,39.99,40.0,2.44,1670.26,0.0
2026-06-07T17:16:14.399211,261945474,38.96,39.68,40.12,40.15,40.4,40.46,40.33,40.02,33.08,34.57,39.99,40.0,2.44,1670.35,0.0
2026-06-07T17:16:15.400183,261946509,38.96,39.68,40.12,40.18,40.37,40.46,40.33,40.02,33.1,34.59,39.99,40.0,2.44,1670.45,0.0
2026-06-07T17:16:16.386886,261947544,38.96,39.65,40.12,40.15,40.4,40.46,40.33,40.02,33.08,34.6,39.99,40.0,2.44,1670.55,0.0
2026-06-07T17:16:17.398730,261948579,38.96,39.68,40.15,40.15,40.4,40.46,40.3,40.02,33.09,34.58,39.99,40.0,2.44,1670.65,0.0
2026-06-07T17:16:18.386398,261949614,38.96,39.71,40.12,40.18,40.37,40.46,40.33,40.05,33.08,34.59,40.02,40.0,-5.38,1670.43,0.0
